Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
HUHI,6395,001,,8,4,1,,,,,,,,,,0,,1,,,"Bambach, Charles",,,,,
CRWT,3307,HN1,,13,,,,,,,,,,,,0,1,,,,"Watkins, Latoya S",,,,,
CRWT,3351,001,,9,1,,,1,1,,,,,,1,1,,,,,"Lyons, Elizabeth",,,,,
ATCM,4315,001,,13,,,,,,,,,,,,1,,,,,"Hall, Phillip",,,,,
HONS,3199,HN5,4,8,1,,,,,,,,,,,1,,,,,"LaDow, Eva S",,,,,
HUSL,7309,001,,5,5,3,,,,,,,,,,0,,1,,,"Hatfield, Charles D",,,,,
DANC,3342,0H1,13,,,,,,,,,,,,,1,,,,,"Owens, Misty",,,,,
CHEM,4473,002,,1,3,1,,3,,1,2,1,,,1,0,,1,,,"Huang, Yu","Welch, Raymond P","Calubaquib, Erika Joy",,,
CHEM,5361,001,,10,,,2,2,,,,,,,,0,,,,,"D'Arcy, Sheena",,,,,
SPAN,1312,001,2,10,,,1,1,,,,,,,,0,,,,,"Leverone, Julia",,,,,
ATCM,4346,001,,3,5,3,1,,,2,,,,,,0,,,,,"Marks, David E",,,,,
AMS,2390,002,,3,3,3,1,1,1,2,,,,,,0,,,,,"Naqvi, Syed K",,,,,
BMEN,1208,107,4,2,1,2,3,1,,,,,,,1,0,,,,,"Meyer, Clark A","Li, Shichang",,,,
ARTS,3371,001,,3,2,2,1,3,,,,,,,3,0,,,,,"Miller, Cynthia M",,,,,
OPRE,4360,501,,13,,,1,,,,,,,,,0,,,,,"Parks, David","Li, Hehe",,,,
ECON,7311,002,,5,5,4,,,,,,,,,,0,,,,,"Li, Dong","Hou, Aoyu",,,,
MATH,1326,005,3,3,1,,1,,,2,1,1,,,2,0,,,,,"Mussa, Derege",,,,,
BMEN,3130,101,,2,3,2,1,2,1,3,,,,,,0,,,,,"Bian, Fang","Atmaramani, Rahul","Dhamu, Vikram Narayanan",,,
BMEN,7189,003,,11,3,,,,,,,,,,,0,,,,,"Romero-Ortega, Mario I",,,,,
AUD,7326,501,,14,,,,,,,,,,,,0,,,,,"Thibodeau, Linda K",,,,,
CE,1337,001,1,,,,2,3,1,3,1,,3,,,0,,,,,"Arnold, Gordon L",,,,,
MUSI,2319,002,,5,3,,1,,,1,,,2,,2,0,,,,,"Durbin, Kelly",,,,,
CE,4389,002,,7,1,2,,3,,1,,,,,,0,,,,,"Hansen, John",,,,,
AUD,7351,001,,14,,,,,,,,,,,,0,,,,,"Griffiths, Scott K","Escabi, Celia D",,,,
HONS,3104,HN1,3,8,3,,,,,,,,,,,0,,,,,"Dow, Douglas C",,,,,
HIST,3376,001,,2,1,2,1,4,1,1,1,,,,1,0,,,,,"Wickberg, Daniel",,,,,
LIT,3337,001,,2,,3,3,4,,2,,,,,,0,,,,,"Cotter, Sean J",,,,,
ACCT,6331,001,,3,6,4,1,,,,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,
MSEN,3302,001,,,4,5,5,,,,,,,,,0,,,,,"Auciello, Orlando H",,,,,
BMEN,6345,001,,10,2,,2,,,,,,,,,0,,,,,"Schmidtke, David W",,,,,
EPPS,6356,001,,10,,,4,,,,,,,,,0,,,,,"Ho, Karl",,,,,
SPAN,1311,002,,1,4,1,1,3,,2,2,,,,,0,,,,,"Vincent, Shelby D",,,,,
JAPN,1312,001,7,2,1,1,,1,1,,,,,,1,0,,,,,"Allred, Michael K",,,,,
SPAU,3342,501,3,3,2,2,1,,1,,,,1,,1,0,,,,,"Barfoot, John W","Peskova, Olga",,,,
ATCM,4326,001,,1,3,3,5,,,,,,,,2,0,,,,,"Imaoka, Laura",,,,,
REAL,4321,501,2,2,,1,3,2,,4,,,,,,0,,,,,"Hedgecock, Blake M",,,,,
BMEN,1208,101,2,3,3,,1,2,,2,,,,,1,0,,,,,"Meyer, Clark A","Li, Shichang",,,,
ACCT,4342,PP1,1,5,3,2,1,,2,,,,,,,0,,,,,"Johnson, Jennifer","Farooqi, Shan A",,,,
MIS,6346,501,,3,2,2,5,2,,,,,,,,0,,,,,"Cankaya, Hakki C","Tripathi, Aarohi",,,,
PSY,3393,501,1,1,7,2,1,2,,,,,,,,0,,,,,"Shirvani, Forouz","Agres, Phillip F",,,,
BMEN,1208,106,5,2,3,2,,1,1,,,,,,,0,,,,,"Ardestani Khoubrouy, Soudeh","Zhou, Ximing",,,,
ECON,5322,501,,11,1,1,,,,1,,,,,,0,,,,,"Grover, William C",,,,,
BUAN,6356,005,,3,5,3,,1,,2,,,,,,0,,,,,"Chen, Jianqing","Banda, Sanjana",,,,
SE,3162,052,,9,3,,1,,,,,,1,,,0,,,,,"Smith, Klyne",,,,,
HONS,3101,HN1,1,11,2,,,,,,,,,,,0,,,,,"Harpham, Edward",,,,,
CS,3354,HON,4,2,2,3,1,1,,1,,,,,,0,,,,,"Marcus, Andrian","Mousavi, Pooneh",,,,
COMM,4340,0H1,1,6,1,5,,,1,,,,,,,0,,,,,"Schlobohm, Maribeth L",,,,,
SYSM,6327,001,,4,4,3,3,,,,,,,,,0,,,,,"Reynolds, Samuel E",,,,,
BMEN,6382,001,,3,10,1,,,,,,,,,,0,,,,,"Bleris, Leonidas",,,,,
ATCM,3365,501,1,7,4,1,,1,,,,,,,,0,,,,,"Billingslea, Steven L",,,,,
MATH,1314,003,,,,,2,5,2,1,,,,1,3,0,,,,,"McCary, Brady C",,,,,
PA,6311,0W1,,11,,2,1,,,,,,,,,0,,,,,"Sabharwal, Meghna",,,,,
HCS,7310,001,,8,1,2,1,1,1,,,,,,,0,,,,,"Wang, Jun",,,,,
GEOS,5387,001,,6,3,,3,1,,,,,,,1,0,,,,,"Ferguson, John F",,,,,
EERF,6351,501,,14,,,,,,,,,,,,0,,,,,"Henderson, Rashaunda M",,,,,
ARTS,3368,001,2,12,,,,,,,,,,,,0,,,,,"Brown-Pearn, Spencer S",,,,,
HUSL,6309,501,,12,1,1,,,,,,,,,,0,,,,,"Martinez, Manuel L",,,,,
BMEN,3150,106,1,1,4,,1,3,,1,,2,1,,,0,,,,,"Winter, Patrick M","Abraham, Alejandro","Raut, Saurabh Vikas",,,
HUMA,6300,501,,7,3,3,,1,,,,,,,,0,,,,,"Brown, Matthew",,,,,
EE,3120,107,6,1,,2,1,1,,,1,,,,2,0,,,,,"Khoobroo, Amir","Zaman, Monir M",,,,
MATH,2413,323,,,,,,,,,,,,,,0,,,,,"Ding, Hui",,,,,
PHYS,3427,301,,,,,,,,,,,,,,0,,,,,"Frazier, Gary A",,,,,
MATH,2414,338,,,,,,,,,,,,,,0,,,,,"Westbury, Bruce W",,,,,
MATH,2419,302,,,,,,,,,,,,,,0,,,,,"Miller, James W",,,,,
IMS,3092,0S1,,,,,,,,,,,,,,0,15,,,,"Kaplan, Marilyn R",,,,,
CE,1202,304,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M",,
BIOL,6384,001,,,,,,,,,,,,,,0,,,,,"Candas, Mehmet","Liu, Li","Guo, Lan","Rughwani, Tripta","Chen, Hao",
MATH,2414,348,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,
EE,1202,303,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M","Chen, Pengyuan",
MATH,2414,326,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,
MATH,2414,344,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi","Hart, Russell A",,,,
CE,1202,302,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Chen, Pengyuan",
MATH,2414,316,,,,,,,,,,,,,,0,,,,,"Sauter, Alan D","Rajapaksha, Rajapaksha Mudalige S",,,,
CE,1202,303,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M","Chen, Pengyuan",
NATS,3343,002,,5,1,3,2,1,,,,,,,,2,,1,,,"Dorsey, Floyd Z",,,,,
HCS,6315,001,,9,3,1,,,,,,,,,,0,,1,,,"Goffman, Lisa A",,,,,
FIN,4303,001,,14,,,,,,,,,,,,0,,,,,"Furst, Jack D",,,,,
PPPE,6347,001,,5,3,3,2,,1,,,,,,,1,,,,,"Elliott, Euel W",,,,,
ACN,6348,501,,6,5,2,1,,,,,,,,,1,,,,,"Golden, Richard","Ryland, James W",,,,
CE,3310,002,2,1,,1,3,2,1,2,,1,,1,,1,,,,,"Coleman, James J","Chen, Jianfei",,,,
MUSI,2319,001,1,11,,,,,1,,,,,,1,1,,,,,"Durbin, Kelly",,,,,
HCS,6341,001,,7,1,3,1,1,,1,,,,,,0,,1,,,"Ploski, Jonathan E",,,,,
HONS,3199,HN1,3,7,3,,,,,1,,,,,,1,,,,,"Thompson, Christina M","Rippel, Scott A",,,,
SPAN,2311,001,,5,4,2,,2,,,,,,,1,1,,,,,"Malouf, Maria",,,,,
AMS,4300,001,,10,3,1,,,,,,,,,,1,,,,,"Parker, Teresa L",,,,,
CHIN,1311,001,7,4,2,1,,,,,,,,,,1,,,,,"Chen, Bei",,,,,
OPRE,6301,PW1,,9,2,2,,,,1,,,,,,0,,1,,,"Wiorkowski, John",,,,,
HUHI,6320,501,,5,4,3,1,,1,,,,,,,1,,,,,"Stewart, Whitney",,,,,
MECO,6355,001,,9,2,3,,,,,,,,,,0,,,,,"Bolton, Gary","Katok, Elena M",,,,
MECH,4382,003,,2,5,3,1,,2,1,,,,,,1,,,,,"Hart, Robert A","Park, Wooram","Gravell, Jamie D","Upasham, Sayali S",,
LIT,1301,501,,3,,,4,,,1,,,4,,2,1,,,,,"Walsh, Dennis P",,,,,
EE,3110,103,,6,5,,2,1,1,,,,,,,0,,,,,"Lee, Gil S","Choi, Ye I",,,,
CHEM,1111,109,4,4,,2,1,,,,,,1,,3,0,,,,,"Dissanayake, Dushanthi S","Morakabi, Katayoun",,,,
CE,4389,001,,7,,,6,,1,,1,,,,,0,,,,,"Skinner, Neal G",,,,,
HONS,3199,HN2,,9,6,,,,,,,,,,,0,,,,,"Towner, Theresa",,,,,
MECH,4382,009,,6,1,2,4,,,2,,,,,,0,,,,,"Hart, Robert A","Wilt, James C","Gravell, Jamie D","Upasham, Sayali S",,
MECH,4382,004,,2,2,4,2,1,2,2,,,,,,0,,,,,"Hart, Robert A","Dai, Xianming","Gravell, Jamie D","Upasham, Sayali S",,
SPAN,1311,001,4,8,3,,,,,,,,,,,0,,,,,"Leverone, Julia",,,,,
LIT,3319,501,,2,4,3,4,,1,,,,,,1,0,,,,,"Greer, Erin",,,,,
AMS,2341,001,,4,2,,4,4,,1,,,,,,0,,,,,"Naqvi, Syed K",,,,,
MECH,4382,007,,5,3,2,2,2,1,,,,,,,0,,,,,"Hart, Robert A","Wilt, James C","Gravell, Jamie D","Upasham, Sayali S",,
HONS,3115,HN1,,15,,,,,,,,,,,,0,,,,,"Thompson, Christina M",,,,,
OB,6339,XS1,,7,6,2,,,,,,,,,,0,,,,,"Bolton, Gary",,,,,
BPS,6255,XS1,,15,,,,,,,,,,,,0,,,,,"Strickland, Warren",,,,,
MECH,4382,006,,6,2,1,2,1,2,,1,,,,,0,,,,,"Hart, Robert A","Wilt, James C","Gravell, Jamie D","Upasham, Sayali S",,
GEOS,3124,001,,5,1,2,2,,,2,1,2,,,,0,,,,,"Finkelman, Robert B",,,,,
CGS,3361,501,8,1,,1,3,1,,1,,,,,,0,,,,,"Roark, Dana A","Stouffer, Kari K",,,,
EE,3120,104,,13,,,1,,,,,,,,1,0,,,,,"Zhou, Dian","Wang, Yifan",,,,
HONS,3199,HN9,,7,8,,,,,,,,,,,0,,,,,"Brunell, Thomas","Seeligson, Michael B",,,,
ARTS,4366,001,4,11,,,,,,,,,,,,0,,,,,"Fridge, Brian D",,,,,
MECO,6312,002,,5,4,5,1,,,,,,,,,0,,,,,"Joo, Joonhwi","Zhu, Yifan",,,,
BIOL,3357,001,1,7,5,1,1,,,,,,,,,0,,,,,"Hill, Brenna R",,,,,
PA,6313,001,,11,2,2,,,,,,,,,,0,,,,,"Goodman, Doug",,,,,
MECH,4382,001,,4,3,1,2,2,3,,,,,,,0,,,,,"Hart, Robert A","Fadda, Dani Z","Gravell, Jamie D","Upasham, Sayali S",,
MECH,6313,001,,8,4,,2,1,,,,,,,,0,,,,,"Spong, Mark W",,,,,
GISC,6317,001,,4,1,1,4,,2,1,,,,,2,0,,,,,"Chastain, Bryan J","Shi, Fan",,,,
EE,3120,102,,15,,,,,,,,,,,,0,,,,,"Zhou, Dian","Wang, Yifan","Hu, Bo",,,
IMS,6351,XS1,,14,1,,,,,,,,,,,0,,,,,"Foster Brady, Pamela",,,,,
BIOL,4360,001,2,3,1,2,3,2,,,,1,1,,,0,,,,,"Pickett, Elizabeth A",,,,,
ACN,6372,501,,11,,,4,,,,,,,,,0,,,,,"Dussor, Gregory O",,,,,
STAT,7345,501,,9,6,,,,,,,,,,,0,,,,,"Efromovich, Sam",,,,,
OPRE,6302,CW1,,5,7,2,1,,,,,,,,,0,,,,,"Hassanzadeh, Nozar",,,,,
MKT,6323,002,,6,,,6,3,,,,,,,,0,,,,,"Kumar, Nanda","Bhave, Ashutosh C",,,,
GEOS,3434,001,,2,6,4,3,,,,,,,,,0,,,,,"Pujana, Ignacio","Hetti Pathirannehelage, Diluni Ayeshika W","Xiong, Kai",,,
HONS,3199,H10,6,6,2,1,,,,,,,,,,0,,,,,"Bobilev, Anastasia",,,,,
MATH,6322,501,,14,,1,,,,,,,,,,0,,,,,"Ramakrishna, Viswanath",,,,,
HONS,3199,HN6,,15,,,,,,,,,,,,0,,,,,"Farmer, J Michael",,,,,
ED,3342,001,,13,1,,1,,,,,,,,,0,,,,,"Parker, Teresa L",,,,,
OB,6338,CH2,,14,1,,,,,,,,,,,0,,,,,"Behrendt, William","Rentschler, Margaret F",,,,
EE,3101,107,1,3,2,,1,,2,1,1,1,,,3,0,,,,,"Gu, Qing","Gharajeh, Abouzar",,,,
MECH,4382,002,,4,2,2,2,3,1,1,,,,,,0,,,,,"Hart, Robert A","Fadda, Dani Z","Gravell, Jamie D","Upasham, Sayali S",,
BMEN,3150,101,2,5,2,2,1,,,1,,,1,,1,0,,,,,"Ali, Tariq M","Sanchez, Camilo A",,,,
ATCM,3320,001,2,1,5,2,,2,1,,,1,,1,,0,,,,,"Llamas Rodriguez, Juan A",,,,,
PSCI,6347,001,,3,7,4,,1,,,,,,,,0,,,,,"Elliott, Euel W",,,,,
NATS,4341,001,2,7,3,1,2,,,,,,,,,0,,,,,"York, Megan","Donaldson, Katherine E",,,,
HONS,3111,HN1,6,6,2,,,,,1,,,,,,0,,,,,"Thompson, Christina M",,,,,
GISC,6381,501,,6,4,1,2,,,1,,,,,1,0,,,,,"Chun, Yongwan","Yu, Xiaohe",,,,
MECO,6303,001,,4,5,,3,2,,,,,,,1,0,,,,,"Liebowitz, Stan",,,,,
ACN,6346,001,,12,,,3,,,,,,,,,0,,,,,"Sultana, Rukhsana",,,,,
NSC,4353,101,5,1,,2,2,2,1,1,,1,,,,0,,,,,"McWilliams, Steven P","Driskill, Christopher M","Eroh, Justin T",,,
PPOL,4396,002,1,6,2,3,1,1,,,,,,,1,0,,,,,"Boots, Denise P","Saucedo De La Fuente, David",,,,
HONS,3199,H13,,15,,,,,,,,,,,,0,,,,,"Earle, Doric E",,,,,
OB,6337,CH2,,5,4,3,2,1,,,,,,,,0,,,,,"Latham, Van M","Behrendt, William",,,,
EE,3101,103,,11,1,1,1,,,,,,,,1,0,,,,,"Gu, Qing","Li, Zhitong",,,,
HONS,3199,HN7,6,4,3,,,2,,,,,,,,0,,,,,"Schwab, Robert",,,,,
ARTS,2381,001,,10,,,4,,,1,,,,,,0,,,,,"Trolli, Tabatha",,,,,
MECH,4382,005,,4,3,1,3,3,1,,,,,,,0,,,,,"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,
AUD,7182,001,,15,,,,,,,,,,,,0,,,,,"Cokely, Carol G",,,,,
MECH,4382,008,,4,5,1,3,1,1,,,,,,,0,,,,,"Hart, Robert A","Wilt, James C","Gravell, Jamie D","Upasham, Sayali S",,
ACCT,6202,GH1,,13,2,,,,,,,,,,,0,,,,,"Sadka, Gil","Fan, Zhongwen","Chu, Yu Fang",,,
HONS,3108,HN1,,15,,,,,,,,,,,,0,,,,,"Prakash, Ravi",,,,,
MATH,2417,302,,,,,,,,,,,,,,0,,,,,"Ahsan, Mohammad K",,,,,
MATH,2414,330,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,
MATH,2417,306,,,,,,,,,,,,,,0,,,,,"Makarenkov, Oleg",,,,,
EE,1202,802,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M",,
MATH,2414,350,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,
MATH,2414,340,,,,,,,,,,,,,,0,,,,,"Westbury, Bruce W",,,,,
MATH,2413,321,,,,,,,,,,,,,,0,,,,,"Ding, Hui",,,,,
CE,1202,306,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Mohamed, Ahmed M",
MATH,2417,304,,,,,,,,,,,,,,0,,,,,"Ahsan, Mohammad K",,,,,
MATH,2413,326,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,
MATH,2414,335,,,,,,,,,,,,,,0,,,,,"Rice, David",,,,,
MATH,2414,331,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,
MATH,2418,315,,,,,,,,,,,,,,0,,,,,"Zhang, Yi",,,,,
PHYS,3427,302,,,,,,,,,,,,,,0,,,,,"Frazier, Gary A",,,,,
MATH,2413,324,,,,,,,,,,,,,,0,,,,,"Ding, Hui",,,,,
MATH,2413,327,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,
HUHI,6323,001,,11,2,,,,,,,,,,,0,,3,,,"Channell, David",,,,,
RHET,1302,029,,1,1,1,1,1,2,1,,1,1,1,3,1,,,,,"Sinckler, Robin",,,,,
CS,4365,HON,,4,7,1,,,,1,,,1,,,2,,,,,"Ng, Yu Chung V",,,,,
CS,6380,001,,6,3,5,,,,,,,,,,2,,,,,"Venkatesan, Subbarayan","Chung, Yu-Yen",,,,
HLTH,1301,0W2,,4,,1,5,4,,,,,1,,,1,,,,,"Baetge, Claire",,,,,
HUMA,1301,HN2,,8,4,2,,,,,1,,,,,0,,1,,,"Wilson, Michael",,,,,
LIT,2329,001,9,,,3,1,,,,1,,,,1,1,,,,,"Starnaman, Sabrina",,,,,
CE,3102,101,4,8,,2,1,,,,,,,,,1,,,,,"Webb, Jennifer H","Chandra Shekar, Ram Charan M","Shankar, Nikhil",,,
DANC,2333,001,12,1,1,,,,,,,,,,1,1,,,,,"Owens, Misty",,,,,
MUSI,2328,002,5,6,,,3,,,1,,,,,,1,,,,,"Mcvay, Michael",,,,,
SPAN,1312,002,1,6,3,1,1,1,,,1,,,,1,1,,,,,"Leverone, Julia",,,,,
CLDP,3338,001,,3,2,2,2,2,,2,,,1,,1,1,,,,,"Santrock, John W","Spence, Melanie",,,,
ARTS,2316,001,2,1,2,2,3,3,,,,,,,2,1,,,,,"Ligon, Peter A",,,,,
ACCT,6301,PW1,,8,4,,1,2,,,,,,,,0,,1,,,"Solcher, Steven J","Keogh, Reagan D",,,,
CS,5390,001,,3,2,3,6,1,,,,,,,,1,,,,,"Cobb, Jorge","Zhou, Shuang",,,,
EE,3120,106,4,2,3,1,,2,1,,1,,,,1,1,,,,,"Khoobroo, Amir","Zaman, Monir M",,,,
PA,6382,001,,13,3,,,,,,,,,,,0,,,,,"Lee, Young-Joo","Upoma, Shahrin S",,,,
HDCD,6320,001,,6,1,1,7,,,1,,,,,,0,,,,,"Holub, Shayla C",,,,,
MATH,6318,001,,7,,3,5,,,1,,,,,,0,,,,,"Minkoff, Susan E",,,,,
SE,4347,006,1,1,3,3,5,1,1,,,,,1,,0,,,,,"Kumar, Pushpa S","Lu, Jing",,,,
OPRE,6389,501,,4,6,2,4,,,,,,,,,0,,,,,"Cakanyildirim, Metin","Shi, Lingling",,,,
ARTS,4368,001,4,12,,,,,,,,,,,,0,,,,,"Pomara, John",,,,,
MIS,6330,0W1,,7,3,2,1,2,1,,,,,,,0,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,
EE,3111,101,4,7,4,1,,,,,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,
CHEM,6V19,501,,16,,,,,,,,,,,,0,,,,,"Nielsen, Steven",,,,,
AMS,3322,001,1,3,5,3,2,2,,,,,,,,0,,,,,"Naqvi, Syed K",,,,,
NSC,4353,104,2,4,4,,4,2,,,,,,,,0,,,,,"Sultana, Rukhsana","Inyang, Kufreobong E",,,,
GISC,4325,001,3,4,3,,,3,1,1,1,,,,,0,,,,,"Dell, Brent",,,,,
MATH,5303,001,,15,1,,,,,,,,,,,0,,,,,"Eydelzon, Anatoly",,,,,
EESC,6360,001,,5,5,3,3,,,,,,,,,0,,,,,"Busso Recabarren, Carlos A","Hassan, Rana A",,,,
OPRE,6274,PS1,,13,2,,,1,,,,,,,,0,,,,,"Szot, James","Katz, Lothar","Turner, Gerald A","Goodman, Doug",,
OPRE,6373,PS1,,12,2,2,,,,,,,,,,0,,,,,"Szot, James","Goodman, Doug","LeBoeuf, Nicole T","Bassuk, Lawrence",,
NSC,4353,103,1,6,3,1,,2,1,1,,,,,1,0,,,,,"Raboune, Siham","Lackovic, Jacob",,,,
CS,6348,001,,8,2,1,4,,,,,,,,1,0,,,,,"Kantarcioglu, Murat","Dakshit, Sagnik",,,,
BCOM,3100,001,,12,2,,1,,,,1,,,,,0,,,,,"Berardi, Caryn S",,,,,
BIOL,3102,001,3,,2,3,2,,,2,,,1,2,1,0,,,,,"Sarcar, Subha N",,,,,
MECO,6350,001,,7,3,6,,,,,,,,,,0,,,,,"Bolton, Gary","Han, Munhee",,,,
ARTS,2350,001,,3,4,1,4,2,,2,,,,,,0,,,,,"Copeland, Colette",,,,,
FIN,4390,501,,5,2,2,4,1,1,,,,1,,,0,,,,,"Richardson, Debra L",,,,,
FIN,6352,502,,4,5,2,4,1,,,,,,,,0,,,,,"von Drathen, Christian","Hong, Yuan",,,,
COMD,7392,001,,16,,,,,,,,,,,,0,,,,,"Dollaghan, Christine",,,,,
THEA,2372,001,,15,,1,,,,,,,,,,0,,,,,"Lingo, Kathy A",,,,,
NSC,4353,102,,8,6,2,,,,,,,,,,0,,,,,"Sultana, Rukhsana","Szabo-Pardi, Thomas A",,,,
PSY,4393,001,,3,1,3,2,3,1,,,,,,3,0,,,,,"Ulatowska, Hanna K",,,,,
RMIS,4334,001,4,2,2,,,,2,,1,1,2,1,1,0,,,,,"Kaplan, Larry S",,,,,
ACCT,6377,001,,10,2,3,,1,,,,,,,,0,,,,,"McCuistion, Dennis",,,,,
MATH,3321,001,6,1,1,3,3,,1,,,,,,1,0,,,,,"Akbar, Mohammad M",,,,,
MIS,6357,002,,16,,,,,,,,,,,,0,,,,,"Johnston, Walter L",,,,,
ARTS,2380,001,3,5,1,1,,1,,2,1,,,,2,0,,,,,"Egan, Trey T",,,,,
MKT,6323,001,,7,,5,1,3,,,,,,,,0,,,,,"Kumar, Nanda","Bhave, Ashutosh C",,,,
CRIM,4315,001,,5,4,3,1,1,,,,1,,,1,0,,,,,"Vieraitis, Lynne M","Sanford, Stephanie M",,,,
GEOS,5375,501,,6,5,2,3,,,,,,,,,0,,,,,"Stern, Robert",,,,,
PA,6342,0W1,,16,,,,,,,,,,,,0,,,,,"Benavides, Teodoro J",,,,,
ARTS,4310,501,,3,3,1,8,,,1,,,,,,0,,,,,"Metz, Greg L",,,,,
OPRE,6275,PS1,,11,3,1,1,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar","Turner, Gerald A","LeBoeuf, Nicole T",,
ATCM,4307,001,,1,4,3,2,3,3,,,,,,,0,,,,,"McCord, Peter A",,,,,
ED,3345,001,,6,1,2,5,,,1,,,,,1,0,,,,,"McNulty, Angela B",,,,,
MECH,3120,102,6,7,2,1,,,,,,,,,,0,,,,,"Hassanipour, Fatemeh","Jiang, Lin",,,,
IMS,6091,0S1,,,,,,,,,,,,,,0,,,,17,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,
HCS,7121,001,,,,,,,,,,,,,,0,,,,17,"Kroener, Sven",,,,,
MATH,2413,306,,,,,,,,,,,,,,0,,,,,"Cao, Yan",,,,,
MATH,2414,305,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,
COMM,4360,001,2,5,2,1,2,,,,,,,,2,2,,1,,,"King, Carie S",,,,,
BUAN,6356,004,,11,4,,,,,,,,,,,2,,,,,"Thouin, Mark","Singh, Tajinder",,,,
OPRE,6379,PW1,,9,2,3,1,,,,,,,,,1,,1,,,"Rajamani, Divakar",,,,,
BIOL,3102,002,3,1,,1,2,3,3,1,,,1,1,,1,,,,,"Srikanth, Uma",,,,,
SPAN,3365,001,10,3,2,1,,,,,,,,,,1,,,,,"Camacho-Guardado, Lorena",,,,,
GEOS,2302,001,2,1,1,2,3,1,,3,,,2,,1,1,,,,,"Cummings, Anthony R","Liau, Yan-Ting",,,,
MIS,6356,005,,5,3,3,4,1,,,,,,,,1,,,,,"Chen, Jianqing","Banda, Sanjana",,,,
MIS,6356,001,,8,4,3,1,,,,,,,,,1,,,,,"Ge, Ling","Panthagani, Phanindra",,,,
SE,3341,001,3,1,1,1,1,,3,2,,,,1,3,1,,,,,"Whalen, Tristan G","Zimmer, Kevin C",,,,
ACN,6313,501,,3,7,3,1,1,,1,,,,,,1,,,,,"Abdi, Herve","Yu, Ju-Chi",,,,
PPPE,6368,001,,6,6,3,,1,,,,,,,,1,,,,,"Bunte, Jonas B",,,,,
OPRE,6364,PS1,,11,3,2,,,,,,,,,,1,,,,,"Rajamani, Divakar",,,,,
MECO,6303,GH1,,10,5,1,,1,,,,,,,,0,,,,,"Kiser, Stephen L",,,,,
ACCT,6338,001,,8,2,1,5,1,,,,,,,,0,,,,,"Goodrich, Mary Beth W",,,,,
EE,3110,104,,5,1,1,3,,,2,,,3,,2,0,,,,,"Lee, Gil S","Wang, Zhengyang",,,,
CS,3354,003,,3,2,1,1,2,4,2,,,,2,,0,,,,,"Paulk, Mark C","Mousavi, Pooneh",,,,
HDCD,6390,001,,7,9,1,,,,,,,,,,0,,,,,"Baerwaldt, Natalie R",,,,,
LIT,4329,001,,5,3,1,1,2,4,1,,,,,,0,,,,,"Cohen, Milton",,,,,
CE,2336,501,3,4,2,6,2,,,,,,,,,0,,,,,"Khan, Ziaullah",,,,,
OPRE,3310,5E1,3,3,,3,3,,1,3,,,1,,,0,,,,,"Sajjadi, Reza",,,,,
ATCM,4379,001,1,3,13,,,,,,,,,,,0,,,,,"Lewis, Timothy M",,,,,
GEOG,2303,001,2,2,2,2,4,,2,1,,,,,2,0,,,,,"Vakulenko, Irina","Chen, Meifang",,,,
ECS,3390,0H7,2,4,5,1,2,,1,,1,1,,,,0,,,,,"Schlobohm, Maribeth L",,,,,
FIN,6301,GH1,,13,2,2,,,,,,,,,,0,,,,,"Reichert, Carolyn A",,,,,
BIOL,5381,001,,10,,,7,,,,,,,,,0,,,,,"Kim, Tae Hoon",,,,,
