Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Maguire, Mandy","Yuan, Haiying",,,,,CLDP,3303,001,2,21,,6,19,,3,10,,,4,,3,,,,,,0
"Bonner, Deborah L","Schneider, Julie M",,,,,CLDP,3310,501,1,5,9,4,6,2,1,3,1,1,1,1,1,,,,,,1
"Huxtable-Jester, Karen J",,,,,,CLDP,3339,001,,5,2,1,2,1,2,2,1,,1,1,4,,,,,,0
"Santrock, John W",,,,,,CLDP,3339,002,,4,2,2,3,,1,,,,3,,1,,,,,,2
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,501,13,14,8,8,6,6,2,1,1,,,,,,,,,,0
"Miller, Van S","Kapolowicz, Michelle R",,,,,NSC,3361,001,22,38,30,18,24,14,36,19,35,,24,,23,,1,,,,8
"Sultana, Rukhsana",,,,,,NSC,3361,002,7,6,7,8,2,2,2,1,,,1,1,1,,,,,,2
"Price, Theodore J","Shiers, Stephanie",,,,,NSC,4352,001,6,47,4,11,23,7,9,10,1,1,3,2,4,,,,,,2
"Sultana, Rukhsana","Inyang, Kufreobong E",,,,,NSC,4353,101,4,1,1,3,2,2,1,,,,,,,,,,,,0
"Sasson, Noah J","Withers, Zaharra G",,,,,PSY,2301,001,,38,24,13,13,11,9,2,4,5,1,1,4,,,,,,4
"Juhn, Nancy H","Carson, Kevin J","Pongpipat, Ekarin E",,,,PSY,2317,001,,17,11,6,5,3,4,4,3,,,2,7,,,,,,2
"Juhn, Nancy H","Carson, Kevin J","Pongpipat, Ekarin E",,,,PSY,2317,002,,11,6,3,7,5,5,9,4,3,4,1,4,,,,,,2
"Meltzer, Mitchell A","Turner, Monroe P",,,,,PSY,2317,501,,7,6,4,3,5,4,2,2,,,1,3,,,,,,3
"Bonner, Deborah L","Schneider, Julie M",,,,,PSY,3310,501,,13,14,13,14,7,7,6,4,1,,,7,,,,,,3
"Barfoot, John W",,,,,,PSY,3333,001,11,20,10,12,8,1,1,2,1,2,,1,1,,,,,,0
"Huxtable-Jester, Karen J",,,,,,PSY,3339,001,,9,1,3,6,3,2,1,,2,,1,3,,,,,,0
"Santrock, John W",,,,,,PSY,3339,002,1,6,6,1,3,1,,,2,,1,,1,,,,,,0
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,501,4,9,3,3,4,1,,1,,1,1,1,2,,,,,,0
"Grohman, Magdalena G",,,,,,PSY,3355,001,1,1,,7,8,,3,3,,,,,1,,,,,,0
"Dowling, Walter J","Brigante, Ryan M",,,,,PSY,3360,501,2,21,4,21,29,7,6,13,1,3,,1,9,,,,,,4
"Grant, Meridith G","Yu, Ju-Chi",,,,,PSY,3392,001,5,17,12,9,11,4,5,4,2,,1,,1,,,,,,1
"Grant, Meridith G","Kriegsman, Michael A",,,,,PSY,3392,002,7,11,8,9,13,9,5,7,2,,,,1,,,,,,0
"Drew, Linda M","Kmiecik, Matthew J",,,,,PSY,3393,001,2,3,2,4,4,2,,1,,,1,,2,,,,,,0
"Dowling, Walter J","Gunal, Mehmet",,,,,PSY,3393,002,1,16,,,,,,1,,,1,,,,,,,,0
"Shirvani, Forouz","Parsons, Julie A",,,,,PSY,3393,006,,10,,,5,,,1,,,,,,,,,,,1
"Tillman, Gail D","Agres, Phillip F",,,,,PSY,3393,501,,14,,,4,,,,,,1,,1,,,,,,0
"Hafer, Donald G",,,,,,PSY,4328,501,23,48,28,7,12,,5,2,2,,1,,1,,,,,,1
"Prager, Karen","Wu, Sining",,,,,PSY,4331,001,4,9,8,8,4,7,4,1,2,1,,,5,,,,,,2
"Ladd, Gretchen C",,,,,,PSY,4332,001,1,51,4,,10,1,,1,,,,,2,,,,,,0
"Gentsch, Joanna K",,,,,,PSY,4346,001,7,53,28,18,7,3,1,2,3,,2,,1,,,,,,4
"Stilwell, John Q",,,,,,PSY,4377,001,1,8,7,4,,,,,,,,,1,,,,,,0
"Walsh, Diane G","Fazel, Vedad",,,,,SPAU,3301,001,12,23,11,18,22,7,11,10,4,3,3,,2,,,,,,3
"Maguire, Mandy","Yuan, Haiying",,,,,SPAU,3303,001,7,37,,6,23,,9,15,,1,4,,5,,,,,,2
"Martin, Jeffrey S","Fowler, Stephanie L",,,,,SPAU,3341,002,,20,12,5,15,5,4,3,3,,1,,,,,,,,1
"Katz, William","Doli, Evdoxia",,,,,SPAU,3343,001,7,40,10,9,14,9,5,11,3,1,6,2,9,,,,,,2
"Powers, Katharine A","Wiseman, Kathryn","Song, Chen",,,,SPAU,3344,001,1,6,4,2,6,4,9,6,5,2,6,3,9,,,,,,3
"Thibodeau, Linda K",,,,,,SPAU,4395,501,2,3,,1,4,,2,1,,,,,,,1,,,,1
"Brinkley, Dawn Y","Zhao, Yuguang",,,,,PSY,3331,501,,20,14,7,13,11,3,9,4,3,2,,8,,,,,,1
"Pinkham, Amy E","Poucher, Jesse W",,,,,PSY,4343,001,,16,13,22,31,28,19,26,15,7,2,3,13,,,,,,8
"Gentsch, Joanna K",,,,,,PSY,2301,HN1,9,11,3,1,1,,,,,,,,,,,,,,0
"O'Toole, Alice J",,,,,,ACN,6330,001,,12,5,1,2,2,,1,,,,,,,,,,,0
"Le Prell, Colleen G",,,,,,AUD,6305,001,,9,4,1,,,,,,,,,,,,,,,0
"Roeser, Ross J",,,,,,AUD,6310,001,,7,2,1,4,,,,,,,,,,,,,,0
"Warner-Czyz, Andrea D","Evans, Christine S",,,,,AUD,7324,001,,12,3,,,,,,,,,,,,,,,,0
"Lobarinas, Edward",,,,,,AUD,7327,001,,9,,2,3,,,,,,,,,,,,,,0
"Lougeay, Janice",,,,,,COMD,6221,001,,113,,,2,,,,,,,,,,,,,,0
"Katz, William","Glotfelty, Annette R",,,,,COMD,6305,001,,,,,,,,,,,,,,,,,,25,0
"Maguire, Mandy",,,,,,COMD,6307,001,,20,,1,,,,,,,,,,,,,,,0
"Aldridge, Michelle A","Kenedi, Helen",,,,,COMD,6320,001,,87,,,3,,,,,,,,,,,,,,0
"Kenedi, Helen","Sale, Felicity F",,,,,COMD,6377,001,,83,,,3,,,,,,,,,,,,,,0
"Dean, Lucinda L","Sale, Felicity F",,,,,COMD,6378,001,,19,,,,,,,,,,,,,,,,,0
"Dean, Lucinda L",,,,,,COMD,7301,001,,28,,,,,,,,,,,,,,,,,0
"Ulatowska, Hanna K",,,,,,COMD,7305,001,,7,,1,2,,,,,,,,,,,,,,0
"Rollins, Pamela R",,,,,,COMD,7336,001,,5,,1,,,,,,,,,,,,,,,0
"Stillman, Robert",,,,,,HCS,6302,001,,,,,,,,,,,,,,,,,,26,0
"O'Toole, Alice J",,,,,,HCS,6330,001,,5,1,1,,,,,,,,,,,,,,,0
"Holub, Shayla C",,,,,,HCS,6350,001,,4,1,1,,,,,,,,,1,,,,,,1
"Touchstone, Emily W",,,,,,HCS,6357,001,,6,,,1,,,1,,,,,,,,,,,0
"Moller, Aage R",,,,,,ACN,6374,001,,21,5,11,1,,,,,,,,,,,,,,0
"Ward, Felicia",,,,,,CLDP,4344,001,6,10,8,4,3,1,,2,,,,,,,,,,,0
"Boatman, Catherine A",,,,,,HDCD,6395,501,,7,,,,,,,,,,,,,,,,,0
"Golden, Richard","Lundie, Michael J",,,,,PSY,3393,502,1,1,3,2,2,2,,1,,,,,4,,,,,,0
"Ward, Felicia",,,,,,PSY,4344,001,10,7,9,4,1,3,,1,,,,,1,,,,,,0
"Cook, Julie D",,,,,,COMD,7204,501,,36,,,,,,,,,,,,,,,,3,0
"Ewing, Donna M",,,,,,HDCD,6315,001,,5,,1,,,,,,,,,,,,,,,0
"Touchstone, Emily W",,,,,,HDCD,6319,001,,8,,,2,,,1,,,,,,,,,,,0
"Hart, John",,,,,,COMD,7309,001,,4,,1,3,,,,,,,,,,,,,4,0
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,PSYC,6312,001,,4,3,2,,1,,1,,,,,2,,,,,,0
"Lobarinas, Edward",,,,,,AUD,6303,001,,7,3,,1,2,1,,,,,,,,,,,,0
"Miller, Van S","Phensy, Aarron J",,,,,NSC,4366,001,10,12,13,12,13,5,7,5,9,,10,,4,,,,,,4
"Ulatowska, Hanna K",,,,,,PSY,3350,001,,2,3,4,8,4,,,,,,,1,,,,,,1
"Grant, Meridith G","Poudel, Sonali",,,,,PSY,3362,501,,4,,,3,,,2,,,,,3,,,,,,0
"Choate, Michael J",,,,,,PSY,3100,501,7,9,,,,,,,,,,,1,,,,,,0
"Grant, Meridith G","Poudel, Sonali",,,,,CLDP,3362,501,,15,,,20,,,18,,,2,,7,,,,,,0
"Touchstone, Emily W","Fowler, Mariah L",,,,,PSY,3310,001,,65,,,24,,,7,,,,,1,,,,,,2
"Touchstone, Emily W","Fowler, Mariah L",,,,,CLDP,3310,001,,23,,,7,,,,,,,,,,,,,,0
"Moller, Aage R","Nandy, Shaurabh",,,,,NSC,4373,001,150,12,,7,8,1,1,,,,,,,,,,,,1
"Herrera, Nicolas S","Guo, Jinghui",,,,,CGS,4352,501,,2,1,1,1,,2,,1,,,1,1,,,,,,0
"Orrick, Erika D",,,,,,ACN,6341,0W1,,21,5,,,,1,,,,,,,,,,,,0
"Rypma, Bart P","Himes, Lyndahl M",,,,,PSY,4359,501,3,4,,,6,,,4,,,,,,,,,,,2
"Rypma, Bart P","Himes, Lyndahl M",,,,,NSC,4359,501,10,14,,,15,,,1,,,,,,,,,,,0
"Brinkley, Dawn Y","Wu, Sining",,,,,PSY,2301,002,,36,14,17,17,9,9,7,3,2,1,1,4,,,,,,4
"Kroener, Sven","Childs, Jessica E",,,,,NSC,4354,001,52,26,19,7,7,11,4,9,1,2,3,2,7,,,,,,7
"O'Toole, Alice J",,,,,,CGS,2301,001,9,4,3,5,4,1,2,3,,2,2,,1,,,,,,3
"Nelson Taylor, Jackie A",,,,,,PSY,4347,001,,6,8,8,5,6,1,3,2,,,,1,,,,,,1
"Drew, Linda M",,,,,,PSY,4386,001,,3,5,1,5,,2,1,,,,,,,,,,,0
"Drew, Linda M",,,,,,SPAU,4386,001,1,5,5,3,5,1,,,1,,,,,,,,,,1
"Kennedy, Kristen M","Gonen, Chen",,,,,NSC,4385,001,,17,,,24,,,13,,,2,,2,,,,,,2
"Roeser, Ross J",,,,,,AUD,6113,001,,,,,,,,,,,,,,,,,,25,0
"Roeser, Ross J",,,,,,AUD,7240,501,,10,,,,,,,,,,,,,,,,,0
"Nelson Taylor, Jackie A",,,,,,CLDP,4347,001,,5,4,3,11,2,1,,2,,1,,,,,,,,0
"Rojas-Villarreal, Raul","Kavakci, Mariam",,,,,SPAU,4308,001,,39,,,11,,,4,,,1,,1,,,,,,0
"Huxtable-Jester, Karen J","White, Kathryn A",,,,,PSY,3331,001,,34,13,5,15,10,13,13,5,3,5,1,7,,,,,,5
"Wig, Gagandeep S","Han, Liang",,,,,PSY,3361,001,7,6,22,16,14,16,14,5,5,1,4,4,2,,,,,,1
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,ACN,6312,001,,8,,1,,,,1,,,,,,,,,,,0
"Wig, Gagandeep S","Han, Liang",,,,,CGS,3361,001,2,1,3,2,1,1,2,,1,,,,,,,,,,0
"Powers, Katharine A","Wiseman, Kathryn","Song, Chen",,,,NSC,3344,001,,1,2,3,2,2,2,1,3,1,,,,,,,,,0
"Kaplan, Karen",,,,,,SPAU,4394,001,7,25,5,15,24,3,5,3,1,,3,,1,,,,,,2
"Mills, Candice M","Nguyen, Linda",,,,,PSY,3393,003,,12,,4,4,,,,,,,,1,,,,,,0
"Barfoot, John W","Peskova, Olga",,,,,SPAU,3342,501,5,7,7,,1,1,,,1,1,,,2,,,,,,0
"Small, Trillion N","Taylor, Mackenzie B",,,,,PSY,4343,501,,42,,,11,,,1,,,,,1,,,,,,1
"McWilliams, Steven P",,,,,,ACN,6340,001,,4,6,7,6,5,2,3,,,,,1,,,,,,0
"Thompson, Lucien",,,,,,HCS,6346,001,,6,1,,,,,,,,,,,,,,,,0
"Thompson, Lucien",,,,,,ACN,6346,001,,23,8,1,3,2,,,,,,,,,,,,,1
"LaDow, Eva S",,,,,,NSC,3361,HN1,6,10,4,3,1,,,,,,,,,,,,,,0
"LaDow, Eva S",,,,,,NSC,4352,HN1,2,17,2,1,1,,1,,,,,,,,,,,,0
"Anderson, Carol A",,,,,,HDCD,6360,001,,8,,,2,,,,,,,,,,,,,,0
"Brody, Salena M",,,,,,PSY,4324,501,3,9,2,2,2,2,2,,2,,,,1,,,,,,0
"Santrock, John W","Ralph, Yvonne K",,,,,CLDP,2314,001,,2,,,2,1,1,2,1,,1,,1,,,,,,1
"Santrock, John W","Ralph, Yvonne K",,,,,PSY,2314,001,3,16,9,2,12,3,3,4,6,1,9,1,8,,,,,,6
"Assmann, Peter",,,,,,PSY,2364,001,3,6,11,10,3,9,6,7,1,3,1,,2,,,,,,6
"Ackerman, Robert A","Corretti, Conrad",,,,,HCS,6312,002,,15,,1,4,2,,,,,,,1,,,,,,0
"Ackerman, Robert A",,,,,,HCS,7310,001,,10,2,2,,,,,,,,,,,,,,,0
"Cook, Jill B",,,,,,HDCD,5350,001,,6,,1,,,,,,,,,,,,,,,0
"Warner-Czyz, Andrea D","Pourchot Neale, Hannah D",,,,,SPAU,3341,001,,5,4,1,2,2,2,,3,1,,,,,,,,,0
"Carter, Jessica A","Mehta, Sonya",,,,,COMD,7221,001,,38,,,7,,,,,,,,,,,,,,0
"Clark, Jackie L",,,,,,AUD,6V20,101,,14,,,,,,,,,,,,,,,,,0
"Lobarinas, Edward","Warner-Czyz, Andrea D","Grinn, Sarah",,,,AUD,6V20,102,,14,,,,,,,,,,,,,,,,,0
"Juhn, Nancy H","O'Connell, Margaret A","Meldrum, Shelia",,,,ACN,6312,003,,4,2,6,6,2,1,2,,,,,,,,,,,1
"Dollaghan, Christine","Goffman, Lisa A","Melamed, Tina",,,,COMD,6308,001,,57,,,21,,,,,,,,,,,,,,0
"Dussor, Gregory O","Desolis, Christopher A",,,,,NSC,4363,001,,30,,,14,,,17,,,,,2,,,,,,2
"Rollins, Pamela R",,,,,,HDCD,6365,001,,4,2,,,,,,,,,,,,,,,,0
"Basak, Chandramallika","Smith, Evan",,,,,PSY,3393,005,4,5,,,7,,,1,,,,,1,,,,,,1
"Rugg, Michael D",,,,,,HCS,7364,001,,5,3,2,1,,1,,,,,,,,,,,,0
"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,ACN,6338,001,,8,,,12,,,6,,,,,,,,,,,0
"Raman, Rachna","Adelson, Megan J",,,,,PSY,3393,004,2,3,4,2,3,1,1,,,,,,,,,,,,1
"Sasson, Noah J","Debrabander, Kilee M",,,,,PSY,2301,003,,34,21,13,11,15,8,12,3,,2,1,7,,,,,,0
"Raman, Rachna","Stouffer, Kari K",,,,,PSY,3392,501,3,,6,7,5,7,7,4,3,6,,1,4,,,,,,2
"Thompson, Lucien",,,,,,HCS,7351,001,,8,,,,,,,,,,,,,,,,,0
"Reid, Jon K",,,,,,PSY,4346,002,,24,,,34,,,10,,,1,,,,,,,,0
"Abdi, Herve","Kriegsman, Michael A","Yu, Ju-Chi",,,,HCS,7310,002,,9,4,1,,,,,,,,,,,,,,,0
"Aldridge, Michelle A",,,,,,COMD,6V09,001,,19,,,,,,,,,,,1,,,,,,0
"Abdi, Herve","Yu, Ju-Chi","Kriegsman, Michael A",,,,HCS,7320,001,,9,4,1,,,,,,,,,,,,,,,0
"Ewing, Donna M",,,,,,HDCD,6312,001,,8,2,1,,1,,,,,,,,,,,,,0
"Touchstone, Emily W",,,,,,COMD,6240,001,,20,,,,,,,,,,,,,,,,,0
"Vanneste, Sven","Mohan, Anusha","Yoo, Hye Bin",,,,NSC,4V90,501,,18,,,6,,,,,,,,,,,,,,0
"Roark, Dana A","Ray, Nicholas R",,,,,PSY,3361,501,11,30,4,9,14,4,7,12,4,2,3,,10,,,,,,4
"Brinkley, Dawn Y","Smith, Olivia","Boyer, Brittany P",,,,PSY,3332,001,,5,4,2,4,6,1,,1,4,1,,2,,,,,,1
"Brinkley, Dawn Y","Smith, Olivia","Boyer, Brittany P",,,,CLDP,3332,001,,16,9,4,11,6,2,10,1,,,,4,,,,,,1
"Roark, Dana A","Ray, Nicholas R",,,,,CGS,3361,501,1,2,1,3,1,,1,1,,,,,,,,,,,0
"Grant, Meridith G","Terry, Courtney",,,,,CLDP,3394,001,,8,,,15,,,1,,,,,,,,,,,0
"Moller, Aage R",,,,,,HCS,7372,002,,31,1,,,,,,,,,,,,,,,,0
"Rodrigue, Karen M","Horn, Marci M",,,,,NSC,4359,001,1,10,8,6,7,5,4,2,2,1,,,1,,,,,,2
"Prager, Karen",,,,,,PSY,3324,001,5,6,5,8,7,,5,7,4,1,1,,,,,,,,1
"Sultana, Rukhsana","Abdelkarim, Dema H",,,,,NSC,4356,001,,34,,,18,,,6,,,,,1,,,,,,0
"Rodrigue, Karen M",,,,,,HCS,7372,001,,9,,,1,,,,,,,,,,,,,,0
"Cokely, Carol G","Wiseman, Kathryn",,,,,AUD,7338,001,,7,4,4,,,,,,,,,,,,,,,0
"Kroener, Sven",,,,,,HCS,7121,001,,,,,,,,,,,,,,,,,,17,0
"Gu, Xiaosi","Straight, Jordan L","Fiore, Vincenzo",,,,NSC,3361,003,16,8,7,5,10,11,8,10,13,,2,,3,,,,,,1
"Kim, Jiyoung",,,,,,MSEN,5300,501,,4,2,3,,1,,,,,,,,,,,,,0
"Hsu, Julia",,,,,,MSEN,5310,001,,3,5,5,2,3,2,1,,,,,,,,,,,0
"Cogan, Diana L","Zhu, Zhiqi","Thakur, Sneha",,,,EE,3320,501,5,3,5,1,4,3,1,5,4,,3,1,6,,,,,,2
"Cogan, Diana L","Thakur, Sneha",,,,,EE,3320,001,4,5,8,1,4,4,5,1,1,1,2,,9,,,,,,1
"Cogan, Diana L","Zhu, Zhiqi","Thakur, Sneha",,,,CE,3320,501,5,3,,4,2,2,,5,2,,1,,5,,,,,,0
"Cogan, Diana L","Thakur, Sneha",,,,,CE,3320,001,1,,3,3,8,3,1,1,2,1,2,2,3,,,,,,0
"Heins, Matthew S","Amin, Tanjil",,,,,EE,3350,002,4,10,4,4,7,2,2,1,1,,,,1,,,,,,2
"Heins, Matthew S","Amin, Tanjil",,,,,EE,3350,501,7,4,1,1,13,3,3,4,1,,,1,,,,,,,0
"Coleman, Ann C","Paul, Banaful",,,,,EE,4301,001,3,7,5,9,3,2,6,4,3,,7,,,,,,,,0
"Lehmann, Randall E","Gemsheim, Alex J",,,,,EE,4368,001,3,16,4,3,12,2,1,1,2,,,,2,,,,,,0
"Tamil, Lakshman",,,,,,EEOP,6310,001,,27,17,4,,,,,,,,,,,,,,,0
"Henderson, Rashaunda M","Ren, Jiajun",,,,,EERF,6311,501,,21,10,9,7,4,,,,,,,,,,,,,0
"Gu, Qing","Chen, Ziyu",,,,,EEGR,6316,001,,6,10,10,5,3,,2,,,,,,,,,,,0
"Frensley, William",,,,,,EEMF,6319,501,,20,8,,,,,,,,,,,,,,,,0
"Panahi, Issa","Ganguly, Anshuman",,,,,EESC,6360,501,,4,,7,6,10,5,3,,,,,,,,,,,2
"Lee, Hoi","Cheng, Qi",,,,,EECT,6378,001,,6,5,9,7,,,,,,,,,,,,,,1
"Lehmann, Randall E","Zaman, Monir M",,,,,EERF,6395,001,,19,7,7,12,4,,5,,,,,,,,,,,0
"Lee, Jeong-Bong",,,,,,EE,3110,101,1,3,,,5,,,,,,,,1,,,,,,0
"Lee, Jeong-Bong",,,,,,EE,3110,102,1,5,,,3,,,,,,,,1,,,,,,0
"Lee, Jeong-Bong",,,,,,EE,3110,103,2,7,,,4,,,,,,,,,,,,,,0
"Lee, Jeong-Bong",,,,,,CE,3110,101,2,6,,,3,,,,,,,,,,,,,,0
"Lee, Jeong-Bong",,,,,,CE,3110,102,1,7,,,2,,,,2,,,,,,,,,,0
"Zhou, Dian","Xiong, Jiu",,,,,EE,3120,102,,10,,,,,,,,,,,,,,,,,1
"Zhou, Dian","Wang, Yifan",,,,,EE,3120,103,,9,,,,,,1,,,,,2,,,,,,0
"Zhou, Dian","Wang, Yifan",,,,,EE,3120,104,,15,,,1,,,,,,1,,,,,,,,1
"Zhou, Dian","Goswami, Pingakshya",,,,,CE,3120,101,,10,,,2,,,,,,1,,,,,,,,0
"Kiasaleh, Kamran",,,,,,EE,3150,101,,5,,2,,1,5,4,1,,,,,,,,,,1
"Kiasaleh, Kamran",,,,,,EE,3150,102,,3,,3,2,6,1,1,2,,,,,,,,,,0
"Kiasaleh, Kamran",,,,,,EE,3150,103,,8,,2,2,,1,3,1,,1,,,,,,,,0
"Kiasaleh, Kamran",,,,,,EE,3150,104,,7,,4,,5,,,1,,,,1,,,,,,0
"Cho, Kyeongjae","Wang, Zhengyang",,,,,ENGR,3300,002,1,3,7,3,4,2,7,1,1,,,,1,,,,,,3
"Lee, Jung S","He, Jiacong",,,,,ENGR,3300,003,2,12,1,1,8,,2,12,2,,5,,,,,,,,2
"Myers, Kathleen","Quayum, Ayon",,,,,ENGR,3341,501,3,4,5,3,4,7,8,8,,1,1,,4,,,,,,1
"Fonseka, John",,,,,,ENGR,3341,007,5,9,3,2,5,3,1,1,3,,3,1,4,,,,,,3
"Fonseka, John",,,,,,ENGR,3341,504,4,8,2,7,2,6,4,2,5,,3,2,3,,,,,,1
"Sechen, Carl","Hu, Bo",,,,,EECT,6325,001,,5,8,7,5,3,,,,,,,1,,,,,,0
"Vogel, Don G",,,,,,CS,1136,101,35,2,1,1,,2,1,2,,,2,,4,,,,,,2
"Vogel, Don G",,,,,,CS,1136,102,25,3,5,1,4,1,2,2,,,1,,6,,,,,,3
"Vogel, Don G",,,,,,CS,1136,105,32,9,2,1,4,1,,,,,,,2,,,,,,2
"Doore, Karen L",,,,,,CS,1335,001,4,13,1,7,12,3,2,1,,,3,,3,,,,,,1
"Le, Khiem V",,,,,,CS,1336,013,5,6,9,4,6,2,1,4,4,2,,4,3,,,,,,1
"Shields, Charles O",,,,,,CS,1336,004,2,7,8,6,6,3,4,3,1,,2,3,3,,,,,,3
"Shields, Charles O",,,,,,CS,1336,003,2,12,5,7,8,,6,3,1,3,3,,2,,,,,,0
"Smith, Jason W",,,,,,CS,1336,005,2,13,1,4,8,1,4,7,1,,2,,6,,,,,,2
"Le, Khiem V",,,,,,CS,1336,501,10,4,8,7,5,2,3,1,3,,3,2,3,,,,,,1
"Willson, James K",,,,,,CS,3305,501,8,20,14,4,7,7,4,4,,,2,2,6,,,,,,1
"Morales, Linda","Hogue, Steven D",,,,,CS,3305,003,3,9,3,6,2,5,,3,,,2,,,,,,,,4
"Farage, Timothy P",,,,,,SE,3306,001,18,22,3,8,10,4,3,4,,1,1,,3,,,,,,1
"Nguyen, Nhut","Munia, Munawara Saiyara",,,,,CS,3340,001,,15,8,3,14,6,5,8,2,,,,4,,,,,,2
"Nguyen, Nhut",,,,,,CS,3340,501,5,8,11,3,13,12,,6,12,,,,1,,,,,,0
"Nguyen, Nhut","Munia, Munawara Saiyara",,,,,SE,3340,001,,,2,,3,,1,2,1,,,,1,,,,,,2
"Whalen, Tristan G","Roy, Akash",,,,,SE,3341,501,6,1,1,1,1,1,2,2,3,2,1,2,2,,,,,,0
"Min, Richard K","Nguyen, Y H",,,,,CS,3377,001,5,5,2,,6,4,3,5,,,,,1,,,,,,5
"Ryan, Christopher J",,,,,,ECS,3390,HN1,1,13,4,,1,,,,,,,,,,,,,,0
"Hernandez-Katz, Melissa M",,,,,,ECS,3390,0H1,,9,3,,2,1,,1,1,,1,,1,,,,,,0
"Hernandez-Katz, Melissa M",,,,,,ECS,3390,0H2,,16,,,2,,1,,,,,,,,,,,,0
"Hernandez-Katz, Melissa M",,,,,,ECS,3390,0H3,,13,3,1,2,,,,,,,,,,,,,,0
"Glauser, Janece B",,,,,,ECS,3390,0H5,,12,2,,2,2,,,1,,,,,,,,,,0
"Coppersmith, Syd",,,,,,ECS,3390,503,,14,1,,1,2,,1,,,,,,,,,,,0
"Scally, Deborah A",,,,,,ECS,3390,5H3,7,6,,2,1,2,,,,,,,,,,,,,0
"Becker, Eric W","Cao, Tri M","Shah, Trusit Sandipbhai",,,,CS,4141,101,2,5,3,1,4,3,,,,,,,2,,,,,,0
"Becker, Eric W","Cao, Tri M","Shah, Trusit Sandipbhai",,,,CS,4141,102,4,7,,2,4,2,1,,,,,,,,,,,,0
"Davis, Chris I","Ghanbari, Ali",,,,,CS,4337,001,1,5,4,5,2,8,2,2,,,1,,2,,,,,,1
"Min, Richard K","Mai, Kelvin K",,,,,CS,4337,501,3,3,3,5,3,4,9,,,1,1,1,1,,,,,,0
"Davis, Chris I","Ghanbari, Ali",,,,,CE,4337,001,,2,1,5,2,,1,,,,,,,,,,,,0
"Becker, Eric W","Hosseini, Seyyed Mohammadsaleh",,,,,CS,4341,501,17,19,6,11,9,7,,11,,,2,,,,,,,,1
"Becker, Eric W","Maweu, Barbara M",,,,,CS,4341,001,31,9,8,14,,1,,5,,,,,2,,,,,,0
"Christiansen, Michael G","Collins, Ulysses J",,,,,CS,4347,001,11,5,10,7,8,8,,4,2,1,,1,1,,,,,,1
"Christiansen, Michael G","Collins, Ulysses J",,,,,SE,4347,001,3,1,2,,2,2,,1,,,,,,,,,,,0
"Daescu, Ovidiu","Wang, Hui",,,,,CS,4349,001,2,3,11,3,17,9,6,8,2,2,2,,3,,,,,,2
"Cankaya, Ebru C","Anindya, Imrul C","Li, Xuelin",,,,CS,4349,002,4,12,7,1,17,5,5,7,5,3,3,,,,,,,,0
"Chung, Lawrence","Kolluri, Kirthy",,,,,SE,4351,001,2,8,8,8,6,6,7,4,3,2,2,1,,,,,,,0
"Kumar, Pushpa S","Li, Xuelin",,,,,SE,4352,001,1,27,4,9,10,3,1,5,,,,,,,,,,,0
"Kumar, Pushpa S","Wang, Chao","Yuan, Jing",,,,CS,4361,001,3,21,6,6,24,,4,4,1,,,,,,,,,,2
"Ng, Yu Chung V","Meng, Dongye",,,,,CS,4375,501,4,14,8,8,5,9,6,6,,1,3,,4,,,,,,6
"Arnold, Gordon L","Hayes, Alexander L",,,,,CS,4384,001,32,8,3,6,8,4,2,1,3,1,2,,4,,,,,,1
"Farage, Timothy P","Tao, Hemeng",,,,,CS,4384,501,42,18,2,1,6,1,3,1,1,,,,,,,,,,0
"Bastani, Farokh",,,,,,CS,4397,001,2,9,2,5,1,1,1,1,1,,,,,,,,,,0
"Gupta, Neeraj K","Chen, Yuqiao",,,,,CS,4398,001,2,,2,2,3,1,1,,,,1,,,,,,,,2
"Wong, Weichen E",,,,,,SE,4485,001,,35,1,,,,,,,,,,,,,,,,0
"Razo Razo, Miguel A","Veerasamy, Jeyakesavan",,,,,CS,4485,001,,51,7,1,2,,1,,,,,,1,,,,,,0
"Cobb, Jorge",,,,,,CS,5333,001,,14,11,21,31,5,2,1,,,,,,,,,,,0
"Ozbirn, Greg A","Bahirat, Kanchan A","Moeini, Hessam",,,,CS,5343,001,,68,24,7,6,3,2,1,,,,,,,,,,,0
"Christiansen, Michael G","Xu, Rupei","Li, Changbin",,,,CS,5348,001,,31,21,13,7,2,,1,,,,,,,,,,,0
"Jue, Jason","Gour, Riti",,,,,CS,6352,001,,4,3,5,7,3,,1,,,,,1,,,,,,0
"Nouroz Borazjany, Mehra","Melendez, Matthew J",,,,,CS,6359,002,,4,35,15,6,1,,,,,,,,,,,,,0
"Sudborough, Ivan H",,,,,,CS,6363,001,,4,5,4,1,,,,,,,,2,,,,,,1
"Bereg, Sergey","Chappidi, Sruthi",,,,,CS,6363,002,,24,33,8,,,,,,,,,,,,,,,0
